[17:10:04] [LOGGING]	 STARTING LOGGING
[17:10:05] [INIT]	 ==========================================
[17:10:05] [INIT]	 S.A.R.A.H. => KINECT
[17:10:05] [INIT]	 ==========================================
[17:10:05] [INIT]	 Server: http://127.0.0.1:8080
[17:10:05] [INIT]	 Confidence: 0,6
[17:10:05] [INIT]	 ==========================================
[17:10:06] [KINECT]	 Setup sensor stream
[17:10:06] [KINECT]	 Start sensor
[17:10:08] [INIT]	 Starting Server: http://169.254.80.80:8888/
[17:10:08] [INIT]	 Starting Server: http://127.0.0.1:8888/
[17:10:08] [WATCHER]	 Stop watching
[17:10:08] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[17:10:08] [GRAMMAR]	 Add to context list: time.xml
[17:10:08] [WATCHER]	 Watching directory: macros
[17:10:08] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[17:10:08] [GRAMMAR]	 Add to context list: dictionary.xml
[17:10:08] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[17:10:08] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[17:10:08] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[17:10:08] [GRAMMAR]	 Add to context list: dot_meteo.xml
[17:10:08] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[17:10:08] [GRAMMAR]	 Add to context list: meteo2.xml
[17:10:08] [WATCHER]	 Watching directory: plugins
[17:10:08] [WATCHER]	 Start watching
[17:10:08] [GRAMMAR]	 Context: default
[17:10:08] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_itineraire.xml, dot_meteo.xml, meteo2.xml
[17:10:08] [CONTEXT]	 time.xml = True
[17:10:08] [CONTEXT]	 dictionary.xml = True
[17:10:08] [CONTEXT]	 dot_itineraire.xml = True
[17:10:08] [CONTEXT]	 dot_meteo.xml = True
[17:10:08] [CONTEXT]	 meteo2.xml = True
[17:10:09] [GRAMMAR]	 File: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 File: Load: time.xml Enabled: True
[17:10:09] [GRAMMAR]	 File: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[17:10:09] [GRAMMAR]	 File: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[17:10:09] [GRAMMAR]	 File: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[17:10:09] [GRAMMAR]	 File: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[17:10:09] [ENGINE - File]	 Init recognizer
[17:10:09] [ENGINE - File]	 AudioLevel: 0
[17:10:09] [ENGINE - File]	 MaxAlternates: 1
[17:10:09] [ENGINE - File]	 BabbleTimeout: 00:00:00
[17:10:09] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[17:10:09] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[17:10:09] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[17:10:09] [KINECT_0]	 AutomaticGainControlEnabled : False
[17:10:09] [KINECT_0]	 BeamAngle : 0
[17:10:09] [KINECT_0]	 EchoCancellationMode : CancellationAndSuppression
[17:10:09] [KINECT_0]	 EchoCancellationSpeakerIndex : 2
[17:10:09] [KINECT_0]	 NoiseSuppression : True
[17:10:09] [KINECT_0]	 SoundSourceAngle : 0
[17:10:09] [KINECT_0]	 SoundSourceAngleConfidence : 0
[17:10:09] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 KINECT_0: Load: time.xml Enabled: True
[17:10:09] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 KINECT_0: Load: dictionary.xml Enabled: True
[17:10:09] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 KINECT_0: Load: dot_itineraire.xml Enabled: True
[17:10:09] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 KINECT_0: Load: dot_meteo.xml Enabled: True
