[15:27:49] [LOGGING]	 STARTING LOGGING
[15:27:52] [INIT]	 ==========================================
[15:27:52] [INIT]	 S.A.R.A.H. => KINECT
[15:27:52] [INIT]	 ==========================================
[15:27:52] [INIT]	 Server: http://127.0.0.1:8080
[15:27:52] [INIT]	 Confidence: 0,65
[15:27:52] [INIT]	 ==========================================
[15:27:55] [KINECT]	 Setup sensor stream
[15:27:55] [KINECT]	 Start sensor
[15:28:07] [INIT]	 Starting Server: http://169.254.80.80:8888/
[15:28:07] [INIT]	 Starting Server: http://127.0.0.1:8888/
[15:28:08] [WATCHER]	 Stop watching
[15:28:09] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[15:28:09] [GRAMMAR]	 Add to context list: time.xml
[15:28:09] [WATCHER]	 Watching directory: macros
[15:28:09] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[15:28:09] [GRAMMAR]	 Add to context list: dictionary.xml
[15:28:10] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[15:28:10] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[15:28:10] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[15:28:11] [GRAMMAR]	 Add to context list: dot_meteo.xml
[15:28:11] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[15:28:11] [GRAMMAR]	 Add to context list: meteo2.xml
[15:28:11] [WATCHER]	 Watching directory: plugins
[15:28:11] [WATCHER]	 Start watching
[15:28:11] [GRAMMAR]	 Context: default
[15:28:11] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_itineraire.xml, dot_meteo.xml, meteo2.xml
[15:28:11] [CONTEXT]	 time.xml = True
[15:28:11] [CONTEXT]	 dictionary.xml = True
[15:28:11] [CONTEXT]	 dot_itineraire.xml = True
[15:28:11] [CONTEXT]	 dot_meteo.xml = True
[15:28:11] [CONTEXT]	 meteo2.xml = True
[15:28:18] [GRAMMAR]	 File: Load Grammar to Engine
[15:28:19] [GRAMMAR]	 File: Load: time.xml Enabled: True
[15:28:22] [GRAMMAR]	 File: Load Grammar to Engine
[15:28:22] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[15:28:22] [GRAMMAR]	 File: Load Grammar to Engine
[15:28:22] [GRAMMAR]	 File: Error file: dot_itineraire.xml: Élément 'rule' non valide. [Ligne=14, Position=4]
[15:28:22] [GRAMMAR]	 File: Error file: dot_itineraire.xml: Élément 'rule' non valide. [Ligne=14, Position=4]
[15:28:22] [GRAMMAR]	 File: Load Grammar to Engine
[15:28:22] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[15:28:23] [GRAMMAR]	 File: Load Grammar to Engine
[15:28:23] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[15:28:24] [ENGINE - File]	 Init recognizer
[15:28:24] [ENGINE - File]	 AudioLevel: 0
[15:28:24] [ENGINE - File]	 MaxAlternates: 1
[15:28:24] [ENGINE - File]	 BabbleTimeout: 00:00:00
[15:28:24] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[15:28:24] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[15:28:24] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[15:28:24] [KINECT_0]	 AutomaticGainControlEnabled : False
[15:28:24] [KINECT_0]	 BeamAngle : 0
[15:28:24] [KINECT_0]	 EchoCancellationMode : CancellationAndSuppression
[15:28:24] [KINECT_0]	 EchoCancellationSpeakerIndex : 1
[15:28:24] [KINECT_0]	 NoiseSuppression : True
[15:28:24] [KINECT_0]	 SoundSourceAngle : 0
[15:28:24] [KINECT_0]	 SoundSourceAngleConfidence : 0
[15:28:24] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[15:28:24] [GRAMMAR]	 KINECT_0: Load: time.xml Enabled: True
[15:28:24] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[15:28:24] [GRAMMAR]	 KINECT_0: Load: dictionary.xml Enabled: True
[15:28:24] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[15:28:24] [GRAMMAR]	 KINECT_0: Error file: dot_itineraire.xml: Élément 'rule' non valide. [Ligne=14, Position=4]
[15:28:24] [GRAMMAR]	 KINECT_0: Error file: dot_itineraire.xml: Élément 'rule' non valide. [Ligne=14, Position=4]
[15:28:24] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[15:28:24] [GRAMMAR]	 KINECT_0: Load: dot_meteo.xml Enabled: True
[15:28:24] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[15:28:24] [GRAMMAR]	 KINECT_0: Load: meteo2.xml Enabled: True
[15:28:24] [ENGINE - KINECT_0]	 Init recognizer
[15:28:24] [ENGINE - KINECT_0]	 AudioLevel: 0
[15:28:24] [ENGINE - KINECT_0]	 MaxAlternates: 1
[15:28:24] [ENGINE - KINECT_0]	 BabbleTimeout: 00:00:00
[15:28:24] [ENGINE - KINECT_0]	 InitialSilenceTimeout: 00:00:00
[15:28:24] [ENGINE - KINECT_0]	 EndSilenceTimeout: 00:00:00.1500000
[15:28:24] [ENGINE - KINECT_0]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[15:28:25] [ENGINE - KINECT_0]	 Start listening
[15:28:25] [ENGINE - KINECT_0]	 AudioStateChanged (28:25.1):Silence
[15:28:26] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Cirrus Logic CS4 Channels: 2 Playback: True
[15:28:26] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[15:28:26] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[15:28:26] [ENGINE]	 Restart timeout: 3600000
[15:28:37] [CAMERA]	 Storing camera: Kinect_0
[15:29:30] [ENGINE - KINECT_0]	 AudioStateChanged (29:30.3):Speech
[15:29:30] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[15:29:30] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,5904016
[15:29:30] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,8128533
[15:29:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce => 0,7834958
[15:29:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il => 0,6492165
[15:29:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va => 0,5007734
[15:29:32] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va faire beau après => 0,5515099
[15:29:32] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va faire beau après demain => 0,4962299
[15:29:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va faire beau après demain dans => 0,4561698
[15:29:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va faire beau après demain dans la => 0,4519153
