[15:48:46] [LOGGING]	 STARTING LOGGING
[15:48:47] [INIT]	 ==========================================
[15:48:47] [INIT]	 S.A.R.A.H. => KINECT
[15:48:47] [INIT]	 ==========================================
[15:48:47] [INIT]	 Server: http://127.0.0.1:8080
[15:48:47] [INIT]	 Confidence: 0,4
[15:48:47] [INIT]	 ==========================================
[15:48:47] [KINECT]	 Setup sensor stream
[15:48:47] [KINECT]	 Start sensor
[15:48:51] [INIT]	 Starting Server: http://169.254.80.80:8888/
[15:48:51] [INIT]	 Starting Server: http://127.0.0.1:8888/
[15:48:51] [WATCHER]	 Stop watching
[15:48:51] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[15:48:51] [GRAMMAR]	 Add to context list: time.xml
[15:48:51] [WATCHER]	 Watching directory: macros
[15:48:51] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[15:48:51] [GRAMMAR]	 Add to context list: dictionary.xml
[15:48:51] [GRAMMAR]	 Load file: dot_histoire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_histoire\dot_histoire.xml
[15:48:51] [GRAMMAR]	 Add to context list: dot_histoire.xml
[15:48:51] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[15:48:51] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[15:48:51] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[15:48:51] [GRAMMAR]	 Add to context list: dot_meteo.xml
[15:48:51] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[15:48:51] [GRAMMAR]	 Add to context list: meteo2.xml
[15:48:51] [WATCHER]	 Watching directory: plugins
[15:48:51] [WATCHER]	 Start watching
[15:48:51] [GRAMMAR]	 Context: default
[15:48:51] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_histoire.xml, dot_itineraire.xml, dot_meteo.xml, meteo2.xml
[15:48:51] [CONTEXT]	 time.xml = True
[15:48:51] [CONTEXT]	 dictionary.xml = True
[15:48:51] [CONTEXT]	 dot_histoire.xml = True
[15:48:51] [CONTEXT]	 dot_itineraire.xml = True
[15:48:51] [CONTEXT]	 dot_meteo.xml = True
[15:48:51] [CONTEXT]	 meteo2.xml = True
[15:48:52] [GRAMMAR]	 File: Load Grammar to Engine
[15:48:52] [GRAMMAR]	 File: Load: time.xml Enabled: True
[15:48:52] [GRAMMAR]	 File: Load Grammar to Engine
[15:48:52] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[15:48:52] [GRAMMAR]	 File: Load Grammar to Engine
[15:48:52] [GRAMMAR]	 File: Load: dot_histoire.xml Enabled: True
[15:48:52] [GRAMMAR]	 File: Load Grammar to Engine
[15:48:52] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[15:48:52] [GRAMMAR]	 File: Load Grammar to Engine
[15:48:52] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[15:48:52] [GRAMMAR]	 File: Load Grammar to Engine
[15:48:52] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[15:48:52] [ENGINE - File]	 Init recognizer
